DateTime,Heat_watts
08/28/2010 23:30:00,8576100.989
08/28/2010 23:45:00,9063485.400
08/29/2010 00:00:00,9020833.704
08/29/2010 00:15:00,8999507.856
08/29/2010 00:30:00,8982447.178
08/29/2010 00:45:00,8443169.409
08/29/2010 01:00:00,8414971.802
08/29/2010 01:15:00,8867287.598
08/29/2010 01:30:00,8837431.411
08/29/2010 01:45:00,8799044.885
08/29/2010 02:00:00,8769188.698
08/29/2010 02:15:00,8735067.341
08/29/2010 02:30:00,8705211.154
08/29/2010 02:45:00,8688150.475
08/29/2010 03:00:00,8675354.966
08/29/2010 03:15:00,8193419.169
08/29/2010 03:30:00,8165221.561
08/29/2010 03:45:00,8624172.931
08/29/2010 04:00:00,8645498.779
08/29/2010 04:15:00,8688150.475
08/29/2010 04:30:00,8718006.662
08/29/2010 04:45:00,8735067.341
08/29/2010 05:00:00,8756393.189
08/29/2010 05:15:00,8777719.037
08/29/2010 05:30:00,8799044.885
08/29/2010 05:45:00,8807575.224
08/29/2010 06:00:00,8816105.563
08/29/2010 06:15:00,8816105.563
08/29/2010 06:30:00,8816105.563
08/29/2010 06:45:00,8807575.224
08/29/2010 07:00:00,8799044.885
08/29/2010 07:15:00,8777719.037
08/29/2010 07:30:00,8756393.189
08/29/2010 07:45:00,8735067.341
08/29/2010 08:00:00,8726537.002
08/29/2010 08:15:00,8726537.002
08/29/2010 08:30:00,8735067.341
08/29/2010 08:45:00,8769188.698
08/29/2010 09:00:00,8786249.376
08/29/2010 09:15:00,8867287.598
08/29/2010 09:30:00,8982447.178
08/29/2010 09:45:00,9123197.774
08/29/2010 10:00:00,9165849.470
08/29/2010 10:15:00,9450991.581
08/29/2010 10:30:00,9246887.693
08/29/2010 10:45:00,9212766.336
08/29/2010 11:00:00,9195705.658
08/29/2010 11:15:00,9144523.622
08/29/2010 11:30:00,9080546.078
08/29/2010 11:45:00,9131728.114
08/29/2010 12:00:00,9379107.950
08/29/2010 12:15:00,9583836.091
08/29/2010 12:30:00,9511328.208
08/29/2010 12:45:00,9519858.547
08/29/2010 13:00:00,9643548.466
08/29/2010 13:15:00,9775768.723
08/29/2010 13:30:00,9899458.642
08/29/2010 13:45:00,9929314.829
08/29/2010 14:00:00,9980496.864
08/29/2010 14:15:00,10031678.899
08/29/2010 14:30:00,10074330.595
08/29/2010 14:45:00,9980496.864
08/29/2010 15:00:00,9907988.981
08/29/2010 15:15:00,9920784.490
08/29/2010 15:30:00,9826950.758
08/29/2010 15:45:00,9664874.314
08/29/2010 16:00:00,9541184.395
08/29/2010 16:15:00,9481472.021
08/29/2010 16:30:00,9408964.138
08/29/2010 16:45:00,9285274.219
08/29/2010 17:00:00,9165849.470
08/29/2010 17:15:00,9123197.774
08/29/2010 17:30:00,9063485.400
08/29/2010 17:45:00,8969651.669
08/29/2010 18:00:00,8901408.955
08/29/2010 18:15:00,8858757.259
08/29/2010 18:30:00,8816105.563
08/29/2010 18:45:00,8747862.850
08/29/2010 19:00:00,8696680.814
08/29/2010 19:15:00,8636968.440
08/29/2010 19:30:00,8543134.709
08/29/2010 19:45:00,8453566.147
08/29/2010 20:00:00,8402384.112
08/29/2010 20:15:00,8329876.229
08/29/2010 20:30:00,8291489.702
08/29/2010 20:45:00,8270163.854
08/29/2010 21:00:00,8227512.158
