"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin"
"412",1100.5,11779866.8136,13814866.8136,89457.9466665,536747.679999,572530.8586656,492018.70666575,530748.8136
"413",1101,11824637.1015,13859637.1015,89646.3175814,537877.9054884,573736.43252096,493054.7466977,531519.101500001
"414",1101.5,11869502.2729,13904502.2729,89808.4648596,538850.7891576,574774.17510144,493946.5567278,532547.153200001
"415",1102,11914439.1276,13949439.1276,89969.5007274,539817.0043644,575804.80465536,494832.2540007,533566.3201
"416",1102.5,11959478.5345,13994478.5345,90157.210661,540943.263966,577006.1482304,495864.6586355,534606.090599999
"417",1103,12004602.4433,14039602.4433,90358.9268949,542153.5613694,578297.13212736,496974.09792195,535656.195799999
"418",1103.5,12049826.6301,14084826.6301,90532.3796397,543194.2778382,579407.22969408,497928.08801835,536719.5484
"419",1104,12095140.259,14130140.259,90742.850396,544457.102376,580754.2425344,499085.677178,537793.2673
"420",1104.5,12140560.3196,14175560.3196,90940.0221149,545640.1326894,582016.14153536,500170.12163195,538886.661999999
"421",1105,12186069.168,14221069.168,91125.8630083,546755.1780498,583205.52325312,501192.24654565,540001.899499999
"422",1105.5,12231691.0554,14266691.0554,91336.5630083,548019.3780498,584554.00325312,502351.09654565,541114.170000002
"423",1106,12277410.0627,14312410.0627,91559.7142525,549358.285515,585982.171216,503578.42838875,542234.011599999
"424",1106.5,12323247.8008,14358247.8008,91788.0772631,550728.4635786,587443.69448384,504834.42494705,543380.987199999
"425",1107,12369192.2433,14404192.2433,92005.5959515,552033.575709,588835.8140896,506030.77773325,544555.141799999
"426",1107.5,12415245.856,14450245.856,92205.3494808,553232.0968848,590114.23667712,507129.4221444,545743.5831
"427",1108,12461401.6615,14496401.6615,92446.7091558,554680.2549348,591658.93859712,508456.9003569,546962.5339
"428",1108.5,12507673.6086,14542673.6086,92678.4042426,556070.4254556,593141.78715264,509731.2233343,548195.074100001
"429",1109,12554079.8163,14589079.8163,92962.6047333,557775.6283998,594960.67029312,511294.32603315,549477.373
"430",1109.5,12600613.9383,14635613.9383,93165.8566,558995.1396,596261.48224,512412.2113,550787.3082
"431",1110,12647247.2783,14682247.2783,93419.1801007,560515.0806042,597882.75264448,513805.49055385,552107.019300001
"432",1110.5,12694010.3447,14729010.3447,93634.5460671,561807.2764026,599261.09482944,514990.00336905,553450.0251
"433",1111,12740876.2858,14775876.2858,93886.1058139,563316.6348834,600871.07720896,516373.58197645,554807.117800001
"434",1111.5,12787856.3157,14822856.3157,94064.2881306,564385.7287836,602011.44403584,517353.5847183,556165.260299999
"435",1112,12834932.789,14869932.789,94285.0566269,565710.3397614,603424.36241216,518567.81144795,557522.726300001
"436",1112.5,12882121.6684,14917121.6684,94473.6404328,566841.8425968,604631.29876992,519605.0223804,558873.867600001
"437",1113,12929400.7594,14964400.7594,94686.0490498,568116.2942988,605990.71391872,520773.2697739,560208.516100001
"438",1113.5,12976786.5714,15011786.5714,94850.912689,569105.476134,607045.8412096,521680.0197895,561540.715399999
"439",1114,13024254.8974,15059254.8974,95055.8882978,570335.3297868,608357.68510592,522807.3856379,562853.2359
"440",1114.5,13071819.6612,15106819.6612,95243.5830037,571461.4980222,609558.93122368,523839.70652035,564146.0526
"441",1115,13119488.2087,15154488.2087,95459.938013,572759.628078,610943.6032832,525029.6590715,565408.3924
"442",1115.5,13167265.4873,15202265.4873,95643.9947371,573863.9684226,612121.56631744,526041.97105405,566651.548999999
"443",1116,13215135.3925,15250135.3925,95858.7786507,575152.6719042,613496.18336448,527223.28257885,567888.1142
"444",1116.5,13263113.8442,15298113.8442,96057.2714311,576343.6285866,614766.53715904,528314.99287105,569103.499500001
"445",1117,13311186.6718,15346186.6718,96253.025926,577518.155556,616019.3659264,529391.642593,570310.386
"446",1117.5,13359355.6301,15394355.6301,96415.2469369,578491.4816214,617057.58039616,530283.85815295,571499.3144
"447",1118,13407594.2182,15442594.2182,96571.0502218,579426.3013308,618054.72141952,531140.7762199,572661.429199999
"448",1118.5,13455931.7601,15490931.7601,96749.2813836,580495.6883016,619195.40085504,532121.0476098,573810.091699999
"449",1119,13504347.2022,15539347.2022,96928.449283,581570.695698,620342.0754112,533106.4710565,574946.442799998
"450",1119.5,13552852.0615,15587852.0615,97084.7645786,582508.5874716,621342.49330304,533966.2051823,576065.4901
"451",1120,13601435.3455,15636435.3455,97261.2768082,583567.6608492,622472.17157248,534937.0224451,577180.448100001
"452",1120.5,13650107.5566,15685107.5566,97422.1149233,584532.6895398,623501.53550912,535821.63207815,578287.895400001
"453",1121,13698851.7561,15733851.7561,97588.7930891,585532.7585346,624568.27577024,536738.36199005,579363.547400001
"454",1121.5,13747698.8181,15782698.8181,97777.9728465,586667.837079,625779.0262176,537778.85065575,580433.330800001
"455",1122,13796635.7687,15831635.7687,97983.2360393,587899.4162358,627092.71065152,538907.79821615,581500.3762
"456",1122.5,13845676.0069,15880676.0069,98172.4088856,589034.4533136,628303.41686784,539948.2488708,582562.162699999
"457",1123,13894813.1592,15929813.1592,98389.2402955,590335.441773,629691.1378912,541140.82162525,583626.487399999
"458",1123.5,13944059.6885,15979059.6885,98588.430029,591530.580174,630965.9521856,542236.3651595,584704.0584
"459",1124,13993404.4922,16028404.4922,98804.5320145,592827.192087,632349.0048928,543424.92607975,585810.274
"460",1124.5,14042853.475,16077853.475,99042.7348263,594256.4089578,633873.50288832,544735.04154465,586921.7149
"461",1125,14092429.2477,16127429.2477,99275.4136357,595652.4818142,635362.64726848,546014.77499635,588082.045500001
"462",1125.5,14142122.0084,16177122.0084,99488.6481617,596931.8889702,636727.34823488,547187.56488935,589269.946900001
"463",1126,14191920.5247,16226920.5247,99720.6606007,598323.9636042,638212.22784448,548463.63330385,590485.179200001
"464",1126.5,14241840.7448,16276840.7448,99967.9171264,599807.5027584,639794.66960896,549823.5441952,591733.188199999
"465",1127,14291876.4094,16326876.4094,100191.844647,601151.067882,641227.8057408,551055.1455585,593024.653299998
"466",1127.5,14342013.776,16377013.776,100391.343458,602348.060748,642504.5981312,552152.389019,594314.957900001
"467",1128,14392260.8512,16427260.8512,100617.153401,603702.920406,643949.7817664,553394.3437055,595625.0825
