"","Decade","TenYearReleaseRnd","TenYearDiffRnd"
"961","1984 to 1993",2.9,-79.6
"962","1985 to 1994",2.9,-79.6
"963","1985 to 1994",2.9,-79.6
"964","1985 to 1994",2.9,-79.6
"965","1985 to 1994",2.9,-79.6
"966","1985 to 1994",2.9,-79.6
"967","1985 to 1994",2.9,-79.6
"968","1985 to 1994",2.9,-79.6
"969","1985 to 1994",2.9,-79.6
"970","1985 to 1994",2.9,-79.6
"971","1985 to 1994",2.9,-79.6
"972","1985 to 1994",2.9,-79.6
"973","1985 to 1994",2.9,-79.6
"974","1985 to 1994",2.9,-79.6
"975","1985 to 1994",2.9,-79.6
"976","1985 to 1994",2.9,-79.6
"977","1985 to 1994",2.9,-79.6
"978","1985 to 1994",2.9,-79.6
"979","1985 to 1994",2.9,-79.6
"980","1985 to 1994",2.9,-79.6
"981","1985 to 1994",2.9,-79.6
"982","1985 to 1994",2.9,-79.6
"983","1985 to 1994",2.9,-79.6
"984","1985 to 1994",2.9,-79.6
"985","1985 to 1994",2.9,-79.6
"986","1985 to 1994",2.8,-79.7
"987","1985 to 1994",2.8,-79.7
"988","1985 to 1994",2.8,-79.7
"989","1985 to 1994",2.8,-79.7
"990","1985 to 1994",2.8,-79.7
"991","1985 to 1994",2.8,-79.7
"992","1985 to 1994",2.8,-79.7
"993","1986 to 1995",4.2,-78.3
"994","1986 to 1995",4.2,-78.3
"995","1986 to 1995",4.2,-78.3
"996","1986 to 1995",4.2,-78.3
"997","1986 to 1995",4.2,-78.3
"998","1986 to 1995",4.2,-78.3
"999","1986 to 1995",4.2,-78.3
"1000","1986 to 1995",4.2,-78.3
"1001","1986 to 1995",4.2,-78.3
"1002","1986 to 1995",4.2,-78.3
"1003","1986 to 1995",4.2,-78.3
"1004","1986 to 1995",4.2,-78.3
"1005","1986 to 1995",4.2,-78.3
"1006","1986 to 1995",4.2,-78.3
"1007","1986 to 1995",4.2,-78.3
"1008","1986 to 1995",4.2,-78.3
"1009","1986 to 1995",4.2,-78.3
"1010","1986 to 1995",4.2,-78.3
"1011","1986 to 1995",4.2,-78.3
"1012","1986 to 1995",4.1,-78.4
"1013","1986 to 1995",4.1,-78.4
"1014","1986 to 1995",4.1,-78.4
"1015","1986 to 1995",4.1,-78.4
"1016","1986 to 1995",4.1,-78.4
"1017","1986 to 1995",4.1,-78.4
"1018","1986 to 1995",4.1,-78.4
"1019","1986 to 1995",4.1,-78.4
"1020","1986 to 1995",4.1,-78.4
"1021","1986 to 1995",4.1,-78.4
"1022","1986 to 1995",4.1,-78.4
"1023","1986 to 1995",4.1,-78.4
"1024","1987 to 1996",3.7,-78.8
"1025","1987 to 1996",3.7,-78.8
"1026","1987 to 1996",3.7,-78.8
"1027","1987 to 1996",3.7,-78.8
"1028","1987 to 1996",3.6,-78.9
"1029","1987 to 1996",3.6,-78.9
"1030","1987 to 1996",3.6,-78.9
"1031","1987 to 1996",3.6,-78.9
"1032","1987 to 1996",3.6,-78.9
"1033","1987 to 1996",3.6,-78.9
"1034","1987 to 1996",3.6,-78.9
"1035","1987 to 1996",3.6,-78.9
"1036","1987 to 1996",3.5,-79
"1037","1987 to 1996",3.5,-79
"1038","1987 to 1996",3.5,-79
"1039","1987 to 1996",3.5,-79
"1040","1987 to 1996",3.5,-79
"1041","1987 to 1996",3.5,-79
"1042","1987 to 1996",3.5,-79
"1043","1987 to 1996",3.4,-79.1
"1044","1987 to 1996",3.4,-79.1
"1045","1987 to 1996",3.4,-79.1
"1046","1987 to 1996",3.4,-79.1
"1047","1987 to 1996",3.4,-79.1
"1048","1987 to 1996",3.4,-79.1
"1049","1987 to 1996",3.3,-79.2
"1050","1987 to 1996",3.3,-79.2
"1051","1987 to 1996",3.3,-79.2
"1052","1987 to 1996",3.3,-79.2
"1053","1987 to 1996",3.3,-79.2
"1054","1987 to 1996",3.3,-79.2
"1055","1988 to 1997",5.1,-77.4
"1056","1988 to 1997",5.1,-77.4
"1057","1988 to 1997",5.1,-77.4
"1058","1988 to 1997",5.1,-77.4
"1059","1988 to 1997",5.1,-77.4
"1060","1988 to 1997",5.1,-77.4
"1061","1988 to 1997",5.1,-77.4
"1062","1988 to 1997",5,-77.5
"1063","1988 to 1997",5,-77.5
"1064","1988 to 1997",5,-77.5
"1065","1988 to 1997",5,-77.5
"1066","1988 to 1997",5,-77.5
"1067","1988 to 1997",5,-77.5
"1068","1988 to 1997",5,-77.5
"1069","1988 to 1997",4.9,-77.6
"1070","1988 to 1997",4.9,-77.6
"1071","1988 to 1997",4.9,-77.6
"1072","1988 to 1997",4.9,-77.6
"1073","1988 to 1997",4.9,-77.6
"1074","1988 to 1997",4.9,-77.6
"1075","1988 to 1997",4.9,-77.6
"1076","1988 to 1997",4.9,-77.6
"1077","1988 to 1997",4.8,-77.7
"1078","1988 to 1997",4.8,-77.7
"1079","1988 to 1997",4.8,-77.7
"1080","1988 to 1997",4.8,-77.7
"1081","1988 to 1997",4.8,-77.7
"1082","1988 to 1997",4.8,-77.7
"1083","1988 to 1997",4.8,-77.7
"1084","1988 to 1997",4.8,-77.7
"1085","1988 to 1997",4.8,-77.7
"1086","1989 to 1998",4.6,-77.9
"1087","1989 to 1998",4.6,-77.9
"1088","1989 to 1998",4.5,-78
"1089","1989 to 1998",4.5,-78
"1090","1989 to 1998",4.5,-78
"1091","1989 to 1998",4.5,-78
"1092","1989 to 1998",4.5,-78
"1093","1989 to 1998",4.5,-78
"1094","1989 to 1998",4.5,-78
"1095","1989 to 1998",4.5,-78
"1096","1989 to 1998",4.5,-78
"1097","1989 to 1998",4.5,-78
"1098","1989 to 1998",4.5,-78
"1099","1989 to 1998",4.5,-78
"1100","1989 to 1998",4.5,-78
"1101","1989 to 1998",4.4,-78.1
"1102","1989 to 1998",4.4,-78.1
"1103","1989 to 1998",4.4,-78.1
"1104","1989 to 1998",4.4,-78.1
"1105","1989 to 1998",4.4,-78.1
"1106","1989 to 1998",4.4,-78.1
"1107","1989 to 1998",4.4,-78.1
"1108","1989 to 1998",4.4,-78.1
"1109","1989 to 1998",4.4,-78.1
"1110","1989 to 1998",4.4,-78.1
"1111","1989 to 1998",4.4,-78.1
"1112","1989 to 1998",4.4,-78.1
"1113","1989 to 1998",4.4,-78.1
"1114","1989 to 1998",4.3,-78.2
"1115","1989 to 1998",4.3,-78.2
"1116","1989 to 1998",4.3,-78.2
"1117","1990 to 1999",4.3,-78.2
"1118","1990 to 1999",4.3,-78.2
"1119","1990 to 1999",4.3,-78.2
"1120","1990 to 1999",4.3,-78.2
"1121","1990 to 1999",4.3,-78.2
"1122","1990 to 1999",4.3,-78.2
"1123","1990 to 1999",4.3,-78.2
"1124","1990 to 1999",4.3,-78.2
"1125","1990 to 1999",4.3,-78.2
"1126","1990 to 1999",4.3,-78.2
"1127","1990 to 1999",4.3,-78.2
"1128","1990 to 1999",4.3,-78.2
"1129","1990 to 1999",4.3,-78.2
"1130","1990 to 1999",4.3,-78.2
"1131","1990 to 1999",4.3,-78.2
"1132","1990 to 1999",4.3,-78.2
"1133","1990 to 1999",4.3,-78.2
"1134","1990 to 1999",4.3,-78.2
"1135","1990 to 1999",4.3,-78.2
"1136","1990 to 1999",4.3,-78.2
"1137","1990 to 1999",4.3,-78.2
"1138","1990 to 1999",4.3,-78.2
"1139","1990 to 1999",4.3,-78.2
"1140","1990 to 1999",4.3,-78.2
"1141","1990 to 1999",4.3,-78.2
"1142","1990 to 1999",4.3,-78.2
"1143","1990 to 1999",4.3,-78.2
"1144","1990 to 1999",4.3,-78.2
"1145","1990 to 1999",4.3,-78.2
"1146","1990 to 1999",4.3,-78.2
"1147","1990 to 1999",4.3,-78.2
"1148","1991 to 2000",2.1,-80.4
"1149","1991 to 2000",2.1,-80.4
"1150","1991 to 2000",2.1,-80.4
"1151","1991 to 2000",2.1,-80.4
"1152","1991 to 2000",2.1,-80.4
"1153","1991 to 2000",2.1,-80.4
"1154","1991 to 2000",2.1,-80.4
"1155","1991 to 2000",2.1,-80.4
"1156","1991 to 2000",2.1,-80.4
"1157","1991 to 2000",2.1,-80.4
"1158","1991 to 2000",2.1,-80.4
"1159","1991 to 2000",2.1,-80.4
"1160","1991 to 2000",2.1,-80.4
"1161","1991 to 2000",2.1,-80.4
"1162","1991 to 2000",2.1,-80.4
"1163","1991 to 2000",2.1,-80.4
"1164","1991 to 2000",2.1,-80.4
"1165","1991 to 2000",2.1,-80.4
"1166","1991 to 2000",2.2,-80.3
"1167","1991 to 2000",2.2,-80.3
"1168","1991 to 2000",2.2,-80.3
"1169","1991 to 2000",2.2,-80.3
"1170","1991 to 2000",2.2,-80.3
"1171","1991 to 2000",2.2,-80.3
"1172","1991 to 2000",2.2,-80.3
"1173","1991 to 2000",2.2,-80.3
"1174","1991 to 2000",2.2,-80.3
"1175","1991 to 2000",2.2,-80.3
"1176","1991 to 2000",2.2,-80.3
"1177","1991 to 2000",2.2,-80.3
"1178","1991 to 2000",2.2,-80.3
"1179","1992 to 2001",2.6,-79.9
"1180","1992 to 2001",2.6,-79.9
"1181","1992 to 2001",2.6,-79.9
"1182","1992 to 2001",2.6,-79.9
"1183","1992 to 2001",2.6,-79.9
"1184","1992 to 2001",2.6,-79.9
"1185","1992 to 2001",2.6,-79.9
"1186","1992 to 2001",2.6,-79.9
"1187","1992 to 2001",2.6,-79.9
"1188","1992 to 2001",2.6,-79.9
"1189","1992 to 2001",2.6,-79.9
"1190","1992 to 2001",2.6,-79.9
"1191","1992 to 2001",2.6,-79.9
"1192","1992 to 2001",2.6,-79.9
"1193","1992 to 2001",2.6,-79.9
"1194","1992 to 2001",2.6,-79.9
"1195","1992 to 2001",2.6,-79.9
"1196","1992 to 2001",2.6,-79.9
"1197","1992 to 2001",2.6,-79.9
"1198","1992 to 2001",2.6,-79.9
"1199","1992 to 2001",2.6,-79.9
"1200","1992 to 2001",2.6,-79.9
"1201","1992 to 2001",2.6,-79.9
"1202","1992 to 2001",2.6,-79.9
"1203","1992 to 2001",2.6,-79.9
"1204","1992 to 2001",2.6,-79.9
"1205","1992 to 2001",2.6,-79.9
"1206","1992 to 2001",2.6,-79.9
"1207","1992 to 2001",2.6,-79.9
"1208","1992 to 2001",2.6,-79.9
"1209","1992 to 2001",2.6,-79.9
"1210","1993 to 2002",3,-79.5
"1211","1993 to 2002",2.9,-79.6
"1212","1993 to 2002",2.9,-79.6
"1213","1993 to 2002",2.9,-79.6
"1214","1993 to 2002",2.9,-79.6
"1215","1993 to 2002",2.9,-79.6
"1216","1993 to 2002",2.9,-79.6
"1217","1993 to 2002",2.9,-79.6
"1218","1993 to 2002",2.9,-79.6
"1219","1993 to 2002",2.9,-79.6
"1220","1993 to 2002",2.9,-79.6
"1221","1993 to 2002",2.9,-79.6
"1222","1993 to 2002",2.8,-79.7
"1223","1993 to 2002",2.8,-79.7
"1224","1993 to 2002",2.8,-79.7
"1225","1993 to 2002",2.8,-79.7
"1226","1993 to 2002",2.8,-79.7
"1227","1993 to 2002",2.8,-79.7
"1228","1993 to 2002",2.8,-79.7
"1229","1993 to 2002",2.8,-79.7
"1230","1993 to 2002",2.8,-79.7
"1231","1993 to 2002",2.8,-79.7
"1232","1993 to 2002",2.8,-79.7
"1233","1993 to 2002",2.8,-79.7
"1234","1993 to 2002",2.7,-79.8
"1235","1993 to 2002",2.7,-79.8
"1236","1993 to 2002",2.7,-79.8
"1237","1993 to 2002",2.7,-79.8
"1238","1993 to 2002",2.7,-79.8
"1239","1993 to 2002",2.7,-79.8
"1240","1993 to 2002",2.7,-79.8
"1241","1994 to 2003",3,-79.5
"1242","1994 to 2003",3,-79.5
"1243","1994 to 2003",3,-79.5
"1244","1994 to 2003",3,-79.5
"1245","1994 to 2003",3,-79.5
"1246","1994 to 2003",3,-79.5
"1247","1994 to 2003",3,-79.5
"1248","1994 to 2003",3,-79.5
"1249","1994 to 2003",2.9,-79.6
"1250","1994 to 2003",2.9,-79.6
"1251","1994 to 2003",2.9,-79.6
"1252","1994 to 2003",2.9,-79.6
"1253","1994 to 2003",2.9,-79.6
"1254","1994 to 2003",2.9,-79.6
"1255","1994 to 2003",2.9,-79.6
"1256","1994 to 2003",2.9,-79.6
"1257","1994 to 2003",2.8,-79.7
"1258","1994 to 2003",2.8,-79.7
"1259","1994 to 2003",2.8,-79.7
"1260","1994 to 2003",2.8,-79.7
"1261","1994 to 2003",2.8,-79.7
"1262","1994 to 2003",2.8,-79.7
"1263","1994 to 2003",2.8,-79.7
"1264","1994 to 2003",2.8,-79.7
"1265","1994 to 2003",2.7,-79.8
"1266","1994 to 2003",2.7,-79.8
"1267","1994 to 2003",2.7,-79.8
"1268","1994 to 2003",2.7,-79.8
"1269","1994 to 2003",2.7,-79.8
"1270","1994 to 2003",2.7,-79.8
"1271","1994 to 2003",2.7,-79.8
"1272","1995 to 2004",3,-79.5
"1273","1995 to 2004",3,-79.5
"1274","1995 to 2004",3,-79.5
"1275","1995 to 2004",3,-79.5
"1276","1995 to 2004",3,-79.5
"1277","1995 to 2004",3,-79.5
"1278","1995 to 2004",2.9,-79.6
"1279","1995 to 2004",2.9,-79.6
"1280","1995 to 2004",2.9,-79.6
"1281","1995 to 2004",2.9,-79.6
"1282","1995 to 2004",2.9,-79.6
"1283","1995 to 2004",2.9,-79.6
"1284","1995 to 2004",2.9,-79.6
"1285","1995 to 2004",2.9,-79.6
"1286","1995 to 2004",2.9,-79.6
"1287","1995 to 2004",2.8,-79.7
"1288","1995 to 2004",2.8,-79.7
"1289","1995 to 2004",2.8,-79.7
"1290","1995 to 2004",2.8,-79.7
"1291","1995 to 2004",2.8,-79.7
"1292","1995 to 2004",2.8,-79.7
"1293","1995 to 2004",2.8,-79.7
"1294","1995 to 2004",2.8,-79.7
"1295","1995 to 2004",2.8,-79.7
"1296","1995 to 2004",2.8,-79.7
"1297","1995 to 2004",2.7,-79.8
"1298","1995 to 2004",2.7,-79.8
"1299","1995 to 2004",2.7,-79.8
"1300","1995 to 2004",2.7,-79.8
"1301","1995 to 2004",2.7,-79.8
"1302","1995 to 2004",2.7,-79.8
"1303","1996 to 2005",2.9,-79.6
"1304","1996 to 2005",2.9,-79.6
"1305","1996 to 2005",2.9,-79.6
"1306","1996 to 2005",2.9,-79.6
"1307","1996 to 2005",2.9,-79.6
"1308","1996 to 2005",2.9,-79.6
"1309","1996 to 2005",2.9,-79.6
"1310","1996 to 2005",2.9,-79.6
"1311","1996 to 2005",2.9,-79.6
"1312","1996 to 2005",2.8,-79.7
"1313","1996 to 2005",2.8,-79.7
"1314","1996 to 2005",2.8,-79.7
"1315","1996 to 2005",2.8,-79.7
"1316","1996 to 2005",2.8,-79.7
"1317","1996 to 2005",2.8,-79.7
"1318","1996 to 2005",2.8,-79.7
"1319","1996 to 2005",2.8,-79.7
"1320","1996 to 2005",2.8,-79.7
"1321","1996 to 2005",2.7,-79.8
"1322","1996 to 2005",2.7,-79.8
"1323","1996 to 2005",2.7,-79.8
"1324","1996 to 2005",2.7,-79.8
"1325","1996 to 2005",2.7,-79.8
"1326","1996 to 2005",2.7,-79.8
"1327","1996 to 2005",2.7,-79.8
"1328","1996 to 2005",2.7,-79.8
"1329","1996 to 2005",2.7,-79.8
"1330","1996 to 2005",2.7,-79.8
"1331","1996 to 2005",2.7,-79.8
"1332","1996 to 2005",2.7,-79.8
"1333","1996 to 2005",2.6,-79.9
"1334","1997 to 2006",2.9,-79.6
"1335","1997 to 2006",2.9,-79.6
"1336","1997 to 2006",2.9,-79.6
"1337","1997 to 2006",2.9,-79.6
"1338","1997 to 2006",2.9,-79.6
"1339","1997 to 2006",2.9,-79.6
"1340","1997 to 2006",2.9,-79.6
"1341","1997 to 2006",2.9,-79.6
"1342","1997 to 2006",2.9,-79.6
"1343","1997 to 2006",2.9,-79.6
"1344","1997 to 2006",2.9,-79.6
"1345","1997 to 2006",2.8,-79.7
"1346","1997 to 2006",2.8,-79.7
"1347","1997 to 2006",2.8,-79.7
"1348","1997 to 2006",2.8,-79.7
"1349","1997 to 2006",2.8,-79.7
"1350","1997 to 2006",2.8,-79.7
"1351","1997 to 2006",2.8,-79.7
"1352","1997 to 2006",2.8,-79.7
"1353","1997 to 2006",2.8,-79.7
"1354","1997 to 2006",2.8,-79.7
"1355","1997 to 2006",2.8,-79.7
"1356","1997 to 2006",2.8,-79.7
"1357","1997 to 2006",2.8,-79.7
"1358","1997 to 2006",2.8,-79.7
"1359","1997 to 2006",2.8,-79.7
"1360","1997 to 2006",2.7,-79.8
"1361","1997 to 2006",2.7,-79.8
"1362","1997 to 2006",2.7,-79.8
"1363","1997 to 2006",2.7,-79.8
"1364","1997 to 2006",2.7,-79.8
"1365","1998 to 2007",3,-79.5
"1366","1998 to 2007",2.9,-79.6
"1367","1998 to 2007",2.9,-79.6
"1368","1998 to 2007",2.9,-79.6
"1369","1998 to 2007",2.9,-79.6
"1370","1998 to 2007",2.9,-79.6
"1371","1998 to 2007",2.9,-79.6
"1372","1998 to 2007",2.9,-79.6
"1373","1998 to 2007",2.9,-79.6
"1374","1998 to 2007",2.9,-79.6
"1375","1998 to 2007",2.9,-79.6
"1376","1998 to 2007",2.9,-79.6
"1377","1998 to 2007",2.9,-79.6
"1378","1998 to 2007",2.9,-79.6
"1379","1998 to 2007",2.8,-79.7
"1380","1998 to 2007",2.8,-79.7
"1381","1998 to 2007",2.8,-79.7
"1382","1998 to 2007",2.8,-79.7
"1383","1998 to 2007",2.8,-79.7
"1384","1998 to 2007",2.8,-79.7
"1385","1998 to 2007",2.8,-79.7
"1386","1998 to 2007",2.8,-79.7
"1387","1998 to 2007",2.8,-79.7
"1388","1998 to 2007",2.8,-79.7
"1389","1998 to 2007",2.8,-79.7
"1390","1998 to 2007",2.8,-79.7
"1391","1998 to 2007",2.8,-79.7
"1392","1998 to 2007",2.7,-79.8
"1393","1998 to 2007",2.7,-79.8
"1394","1998 to 2007",2.7,-79.8
"1395","1998 to 2007",2.7,-79.8
"1396","1999 to 2008",3.2,-79.3
"1397","1999 to 2008",3.2,-79.3
"1398","1999 to 2008",3.2,-79.3
"1399","1999 to 2008",3.2,-79.3
"1400","1999 to 2008",3.2,-79.3
"1401","1999 to 2008",3.2,-79.3
"1402","1999 to 2008",3.2,-79.3
"1403","1999 to 2008",3.2,-79.3
"1404","1999 to 2008",3.2,-79.3
"1405","1999 to 2008",3.2,-79.3
"1406","1999 to 2008",3.2,-79.3
"1407","1999 to 2008",3.2,-79.3
"1408","1999 to 2008",3.2,-79.3
"1409","1999 to 2008",3.2,-79.3
"1410","1999 to 2008",3.2,-79.3
"1411","1999 to 2008",3.2,-79.3
"1412","1999 to 2008",3.2,-79.3
"1413","1999 to 2008",3.2,-79.3
"1414","1999 to 2008",3.2,-79.3
"1415","1999 to 2008",3.2,-79.3
"1416","1999 to 2008",3.2,-79.3
"1417","1999 to 2008",3.2,-79.3
"1418","1999 to 2008",3.2,-79.3
"1419","1999 to 2008",3.2,-79.3
"1420","1999 to 2008",3.2,-79.3
"1421","1999 to 2008",3.2,-79.3
"1422","1999 to 2008",3.2,-79.3
"1423","1999 to 2008",3.1,-79.4
"1424","1999 to 2008",3.1,-79.4
"1425","1999 to 2008",3.1,-79.4
"1426","1999 to 2008",3.1,-79.4
"1427","2000 to 2009",2.8,-79.7
"1428","2000 to 2009",2.8,-79.7
"1429","2000 to 2009",2.8,-79.7
"1430","2000 to 2009",2.8,-79.7
"1431","2000 to 2009",2.8,-79.7
"1432","2000 to 2009",2.8,-79.7
"1433","2000 to 2009",2.8,-79.7
"1434","2000 to 2009",2.8,-79.7
"1435","2000 to 2009",2.8,-79.7
"1436","2000 to 2009",2.8,-79.7
"1437","2000 to 2009",2.8,-79.7
"1438","2000 to 2009",2.8,-79.7
"1439","2000 to 2009",2.8,-79.7
"1440","2000 to 2009",2.8,-79.7
"1441","2000 to 2009",2.8,-79.7
"1442","2000 to 2009",2.8,-79.7
"1443","2000 to 2009",2.8,-79.7
"1444","2000 to 2009",2.8,-79.7
"1445","2000 to 2009",2.8,-79.7
"1446","2000 to 2009",2.8,-79.7
"1447","2000 to 2009",2.8,-79.7
"1448","2000 to 2009",2.8,-79.7
"1449","2000 to 2009",2.8,-79.7
"1450","2000 to 2009",2.8,-79.7
"1451","2000 to 2009",2.8,-79.7
"1452","2000 to 2009",2.8,-79.7
"1453","2000 to 2009",2.8,-79.7
"1454","2000 to 2009",2.8,-79.7
"1455","2000 to 2009",2.8,-79.7
"1456","2000 to 2009",2.7,-79.8
"1457","2000 to 2009",2.7,-79.8
"1458","2001 to 2010",2.6,-79.9
"1459","2001 to 2010",2.6,-79.9
"1460","2001 to 2010",2.6,-79.9
"1461","2001 to 2010",2.6,-79.9
"1462","2001 to 2010",2.6,-79.9
"1463","2001 to 2010",2.6,-79.9
"1464","2001 to 2010",2.6,-79.9
"1465","2001 to 2010",2.6,-79.9
"1466","2001 to 2010",2.6,-79.9
"1467","2001 to 2010",2.6,-79.9
"1468","2001 to 2010",2.6,-79.9
"1469","2001 to 2010",2.6,-79.9
"1470","2001 to 2010",2.6,-79.9
"1471","2001 to 2010",2.6,-79.9
"1472","2001 to 2010",2.6,-79.9
"1473","2001 to 2010",2.6,-79.9
"1474","2001 to 2010",2.6,-79.9
"1475","2001 to 2010",2.6,-79.9
"1476","2001 to 2010",2.6,-79.9
"1477","2001 to 2010",2.6,-79.9
"1478","2001 to 2010",2.6,-79.9
"1479","2001 to 2010",2.5,-80
"1480","2001 to 2010",2.5,-80
"1481","2001 to 2010",2.5,-80
"1482","2001 to 2010",2.5,-80
"1483","2001 to 2010",2.5,-80
"1484","2001 to 2010",2.5,-80
"1485","2001 to 2010",2.5,-80
"1486","2001 to 2010",2.5,-80
"1487","2001 to 2010",2.5,-80
"1488","2001 to 2010",2.5,-80
"1489","2002 to 2011",5.1,-77.4
"1490","2002 to 2011",5.1,-77.4
"1491","2002 to 2011",5.1,-77.4
"1492","2002 to 2011",5.1,-77.4
"1493","2002 to 2011",5.1,-77.4
"1494","2002 to 2011",5.1,-77.4
"1495","2002 to 2011",5.1,-77.4
"1496","2002 to 2011",5.1,-77.4
"1497","2002 to 2011",5,-77.5
"1498","2002 to 2011",5,-77.5
"1499","2002 to 2011",5,-77.5
"1500","2002 to 2011",5,-77.5
"1501","2002 to 2011",5,-77.5
"1502","2002 to 2011",5,-77.5
"1503","2002 to 2011",5,-77.5
"1504","2002 to 2011",4.9,-77.6
"1505","2002 to 2011",4.9,-77.6
"1506","2002 to 2011",4.9,-77.6
"1507","2002 to 2011",4.9,-77.6
"1508","2002 to 2011",4.9,-77.6
"1509","2002 to 2011",4.9,-77.6
"1510","2002 to 2011",4.8,-77.7
"1511","2002 to 2011",4.8,-77.7
"1512","2002 to 2011",4.8,-77.7
"1513","2002 to 2011",4.8,-77.7
"1514","2002 to 2011",4.8,-77.7
"1515","2002 to 2011",4.8,-77.7
"1516","2002 to 2011",4.7,-77.8
"1517","2002 to 2011",4.7,-77.8
"1518","2002 to 2011",4.7,-77.8
"1519","2002 to 2011",4.7,-77.8
"1520","2003 to 2012",2.8,-79.7
"1521","2003 to 2012",2.8,-79.7
"1522","2003 to 2012",2.8,-79.7
"1523","2003 to 2012",2.8,-79.7
"1524","2003 to 2012",2.8,-79.7
"1525","2003 to 2012",2.8,-79.7
"1526","2003 to 2012",2.8,-79.7
"1527","2003 to 2012",2.8,-79.7
"1528","2003 to 2012",2.8,-79.7
"1529","2003 to 2012",2.7,-79.8
"1530","2003 to 2012",2.7,-79.8
"1531","2003 to 2012",2.7,-79.8
"1532","2003 to 2012",2.7,-79.8
"1533","2003 to 2012",2.7,-79.8
"1534","2003 to 2012",2.7,-79.8
"1535","2003 to 2012",2.7,-79.8
"1536","2003 to 2012",2.7,-79.8
"1537","2003 to 2012",2.7,-79.8
"1538","2003 to 2012",2.7,-79.8
"1539","2003 to 2012",2.7,-79.8
"1540","2003 to 2012",2.7,-79.8
"1541","2003 to 2012",2.7,-79.8
"1542","2003 to 2012",2.7,-79.8
"1543","2003 to 2012",2.6,-79.9
"1544","2003 to 2012",2.6,-79.9
"1545","2003 to 2012",2.6,-79.9
"1546","2003 to 2012",2.6,-79.9
"1547","2003 to 2012",2.6,-79.9
"1548","2003 to 2012",2.6,-79.9
"1549","2003 to 2012",2.6,-79.9
"1550","2003 to 2012",2.6,-79.9
"1551","2004 to 2013",3,-79.5
"1552","2004 to 2013",3,-79.5
"1553","2004 to 2013",3,-79.5
"1554","2004 to 2013",2.9,-79.6
"1555","2004 to 2013",2.9,-79.6
"1556","2004 to 2013",2.9,-79.6
"1557","2004 to 2013",2.9,-79.6
"1558","2004 to 2013",2.9,-79.6
"1559","2004 to 2013",2.9,-79.6
"1560","2004 to 2013",2.9,-79.6
"1561","2004 to 2013",2.9,-79.6
"1562","2004 to 2013",2.9,-79.6
"1563","2004 to 2013",2.8,-79.7
"1564","2004 to 2013",2.8,-79.7
"1565","2004 to 2013",2.8,-79.7
"1566","2004 to 2013",2.8,-79.7
"1567","2004 to 2013",2.8,-79.7
"1568","2004 to 2013",2.8,-79.7
"1569","2004 to 2013",2.8,-79.7
"1570","2004 to 2013",2.8,-79.7
"1571","2004 to 2013",2.8,-79.7
"1572","2004 to 2013",2.7,-79.8
"1573","2004 to 2013",2.7,-79.8
"1574","2004 to 2013",2.7,-79.8
"1575","2004 to 2013",2.7,-79.8
"1576","2004 to 2013",2.7,-79.8
"1577","2004 to 2013",2.7,-79.8
"1578","2004 to 2013",2.7,-79.8
"1579","2004 to 2013",2.7,-79.8
"1580","2004 to 2013",2.7,-79.8
"1581","2004 to 2013",2.6,-79.9
"1582","2005 to 2014",2.8,-79.7
"1583","2005 to 2014",2.8,-79.7
"1584","2005 to 2014",2.8,-79.7
"1585","2005 to 2014",2.8,-79.7
"1586","2005 to 2014",2.8,-79.7
"1587","2005 to 2014",2.8,-79.7
"1588","2005 to 2014",2.8,-79.7
"1589","2005 to 2014",2.8,-79.7
"1590","2005 to 2014",2.8,-79.7
"1591","2005 to 2014",2.8,-79.7
"1592","2005 to 2014",2.7,-79.8
"1593","2005 to 2014",2.7,-79.8
"1594","2005 to 2014",2.8,-79.7
"1595","2005 to 2014",2.7,-79.8
"1596","2005 to 2014",2.7,-79.8
"1597","2005 to 2014",2.7,-79.8
"1598","2005 to 2014",2.7,-79.8
"1599","2005 to 2014",2.7,-79.8
"1600","2005 to 2014",2.7,-79.8
"1601","2005 to 2014",2.7,-79.8
"1602","2005 to 2014",2.7,-79.8
"1603","2005 to 2014",2.7,-79.8
"1604","2005 to 2014",2.7,-79.8
"1605","2005 to 2014",2.7,-79.8
"1606","2005 to 2014",2.7,-79.8
"1607","2005 to 2014",2.7,-79.8
"1608","2005 to 2014",2.7,-79.8
"1609","2005 to 2014",2.7,-79.8
"1610","2005 to 2014",2.7,-79.8
"1611","2005 to 2014",2.7,-79.8
"1612","2005 to 2014",2.7,-79.8
"1613","2006 to 2015",3.3,-79.2
"1614","2006 to 2015",3.3,-79.2
"1615","2006 to 2015",3.3,-79.2
"1616","2006 to 2015",3.3,-79.2
"1617","2006 to 2015",3.3,-79.2
"1618","2006 to 2015",3.3,-79.2
"1619","2006 to 2015",3.2,-79.3
"1620","2006 to 2015",3.2,-79.3
"1621","2006 to 2015",3.2,-79.3
"1622","2006 to 2015",3.2,-79.3
"1623","2006 to 2015",3.2,-79.3
"1624","2006 to 2015",3.2,-79.3
"1625","2006 to 2015",3.2,-79.3
"1626","2006 to 2015",3.2,-79.3
"1627","2006 to 2015",3.2,-79.3
"1628","2006 to 2015",3.2,-79.3
"1629","2006 to 2015",3.2,-79.3
"1630","2006 to 2015",3.2,-79.3
"1631","2006 to 2015",3.2,-79.3
"1632","2006 to 2015",3.2,-79.3
"1633","2006 to 2015",3.2,-79.3
